identificador,titulo,resumen,etiquetas,creado,modificado,oculto
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-sexta-sesion-ordinaria,Cuadragésima Sexta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 10 de diciembre 2019",Sesiones,2019-12-10 15:00:00,2019-12-10 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-septima-sesion-ordinaria,Cuadragésima Séptima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 20 de diciembre 2019",Sesiones,2019-12-20 15:00:00,2019-12-20 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-primera-sesion-ordinaria,Primera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 08 de enero 2020",Sesiones,2020-01-08 15:00:00,2020-01-08 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-segunda-sesion-ordinaria,Segunda Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 15 de enero 2020",Sesiones,2020-01-15 15:00:00,2020-01-15 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-tercera-sesion-ordinaria,Tercera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 22 de enero 2020",Sesiones,2020-01-22 15:00:00,2020-01-22 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-cuarta-sesion-ordinaria,Cuarta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 29 de enero 2020",Sesiones,2020-01-29 15:00:00,2020-01-29 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-quinta-sesion-ordinaria,Quinta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 05 de febrero 2020",Sesiones,2020-02-05 15:00:00,2020-02-05 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-sexta-sesion-ordinaria,Sexta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 12 de febrero 2020",Sesiones,2020-02-12 15:00:00,2020-02-12 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-septima-sesion-ordinaria,Séptima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 19 de febrero 2020",Sesiones,2020-02-19 15:00:00,2020-02-19 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-octava-sesion-ordinaria,Octava Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 26 de febrero 2020",Sesiones,2020-02-26 15:00:00,2020-02-26 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-novena-sesion-ordinaria,Novena Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 04 de marzo 2020",Sesiones,2020-03-04 15:00:00,2020-03-04 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-sesion-ordinaria,Décima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 11 de marzo 2020",Sesiones,2020-03-11 15:00:00,2020-03-11 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-primera-sesion-ordinaria,Décima Primera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 18 de marzo 2020",Sesiones,2020-03-18 15:00:00,2020-03-18 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-primera-sesion-extraordinaria,Primera Sesión Extraordinaria,"Sesión Extraordinaria del Pleno del TSJ, 15 de abril 2020",Sesiones,2020-04-15 15:00:00,2020-04-15 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-segunda-sesion-extraordinaria,Segunda Sesión Extraordinaria,"Sesión Extraordinaria del Pleno del TSJ, 30 de abril 2020",Sesiones,2020-04-30 11:05:00,2020-04-30 11:05:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-tercera-sesion-extraordinaria,Tercera Sesión Extraordinaria,"Sesión Extraordinaria del Pleno del TSJ, 13 de mayo 2020",Sesiones,2020-05-13 11:00:00,2020-05-13 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-segunda-sesion-ordinaria,Décima Segunda Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 20 de mayo 2020",Sesiones,2020-05-20 11:00:00,2020-05-20 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-tercera-sesion-ordinaria,Décima Tercera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 27 de mayo 2020",Sesiones,2020-05-27 11:00:00,2020-05-27 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-cuarta-sesion-ordinaria,Décima Cuarta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 03 de junio 2020",Sesiones,2020-06-03 11:00:00,2020-06-03 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-quinta-sesion-ordinaria,Décima Quinta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 10 de junio 2020",Sesiones,2020-06-10 11:00:00,2020-06-10 11:00:00,0
